,Date,Home,HG,Away,AG
623,2022-08-06,ATX,3,SJE,3
624,2022-08-06,COL,4,MIN,3
625,2022-08-06,SKC,4,LAG,2
626,2022-08-06,NSH,3,TOR,4
627,2022-08-06,MTL,2,MIA,2
628,2022-08-06,DCU,0,NYRB,0
629,2022-08-06,ORL,0,NER,3
630,2022-08-06,CIN,3,PHI,1
631,2022-08-06,CLB,3,NYC,1
632,2022-08-06,CLT,2,CHI,3
633,2022-08-06,ATL,2,SEA,1
634,2022-08-05,VAN,2,HOU,1
635,2022-08-03,POR,1,NSH,1
636,2022-08-03,SJE,0,MIA,1
637,2022-08-03,CLB,1,MTL,2
638,2022-08-03,CLT,2,DCU,0
639,2022-08-02,SEA,1,FCD,0
640,2022-08-02,NYRB,4,COL,5
641,2022-07-31,DCU,2,ORL,1
642,2022-07-30,SJE,2,RSL,2
643,2022-07-30,FCD,1,LAG,0
644,2022-07-30,SKC,0,ATX,2
645,2022-07-30,MIA,4,CIN,4
646,2022-07-30,NSH,1,VAN,1
647,2022-07-30,NER,0,TOR,0
648,2022-07-30,MTL,0,NYC,0
649,2022-07-30,PHI,6,HOU,0
650,2022-07-30,CHI,0,ATL,0
651,2022-07-30,MIN,4,POR,3
652,2022-07-29,LAFC,2,SEA,0
653,2022-07-24,LAG,2,ATL,0
654,2022-07-24,ATX,3,NYRB,4
655,2022-07-23,POR,2,SJE,1
656,2022-07-23,RSL,0,FCD,1
657,2022-07-23,VAN,1,CHI,3
658,2022-07-23,SEA,2,COL,1
659,2022-07-23,SKC,0,LAFC,2
660,2022-07-23,HOU,1,MIN,2
661,2022-07-23,DCU,1,MTL,2
662,2022-07-23,CIN,1,NSH,1
663,2022-07-23,CLB,0,NER,0
664,2022-07-23,ORL,0,PHI,1
