"","Player","Team","Season","Position","Minutes","Shots","SoT","G","xG","xPlace","G-xG","KeyP","A","xA","A-xA","xG+xA","PA","xPA"
"","Ryan Gauld","VAN","2023","ST","2896","76","27","11","14.42","-2.43","-3.42","76","11","9.07","1.93","23.48","6.26","9.82"
"","Taty Castellanos","NYC","2021","ST","2991","132","57","19","19.01","-0.57","-0.01","34","6","4.24","1.76","23.25","6.46","8.29"
"","Kei Kamara","CLB","2015","ST","2951","135","57","22","18.76","2.33","3.24","35","5","4.27","0.73","23.02","9.59","10.35"
"","David Villa","NYC","2017","ST","2738","136","55","22","16.32","2.68","5.68","62","5","6.47","-1.47","22.79","11.63","11.03"
"","Nemanja Nikolic","CHI","2017","ST","3132","118","59","24","20.94","2.83","3.06","18","2","1.62","0.38","22.55","8.99","9.60"
"","Mike Magee","CHI, LAG","2013","ST","2992","114","50","21","16.19","6.39","4.81","65","3","6.24","-3.24","22.43","9.81","8.89"
"","Gyasi Zardes","CLB","2018","ST","3195","88","40","19","19.60","1.00","-0.60","26","0","2.81","-2.81","22.40","7.81","11.51"
"","Bradley Wright-Phillips","NYRB","2016","ST","2963","103","56","24","19.61","5.10","4.39","30","3","2.68","0.32","22.30","8.72","9.00"
"","Obafemi Martins","SEA","2014","ST","2782","77","36","17","15.21","0.36","1.79","56","12","7.06","4.94","22.27","4.07","6.66"
"","Sebastian Giovinco","TOR","2018","ST","2591","167","51","13","13.46","-0.06","-0.46","46","7","8.70","-1.70","22.17","4.40","7.23"
"","Luciano Acosta","CIN","2022","AM","2708","62","22","10","10.80","-1.31","-0.80","91","13","11.35","1.65","22.14","3.19","5.29"
"","Alberth Elis","HOU","2018","W","2639","101","44","11","15.67","0.19","-4.67","31","6","6.30","-0.30","21.97","5.25","8.49"
"","Hany Mukhtar","NSH","2023","ST","3147","117","49","15","13.80","2.18","1.20","68","9","8.17","0.83","21.97","6.42","8.15"
"","Christian Benteke","DCU","2023","ST","3134","107","40","14","18.33","-1.95","-4.33","36","2","3.53","-1.53","21.86","7.54","11.79"
"","Denis Bouanga","LAFC","2023","W","2815","137","54","20","14.53","0.06","5.47","41","6","7.31","-1.31","21.84","7.97","8.23"
"","Fanendo Adi","POR","2016","ST","2876","88","37","16","18.82","-3.03","-2.82","38","0","3.01","-3.01","21.84","7.36","10.70"
"","Diego Valeri","POR","2018","AM","2999","86","29","10","12.71","-1.64","-2.71","99","10","8.86","1.14","21.57","5.01","7.54"
"","Carlos Vela","LAFC","2018","W","2611","97","44","14","11.64","-0.53","2.36","80","10","9.83","0.17","21.47","7.03","6.39"
"","Diego Valeri","POR","2017","AM","3061","93","39","21","13.80","3.80","7.20","68","9","7.25","1.75","21.05","9.41","7.21"
"","Ignacio Piatti","MTL","2016","W","3037","95","42","17","13.60","1.24","3.40","58","4","7.43","-3.43","21.03","8.31","7.75"
"","Pedro Morales","VAN","2014","AM","2747","105","39","10","11.82","-0.52","-1.82","84","10","9.10","0.90","20.91","5.99","8.40"
"","Robbie Keane","LAG","2013","ST","2116","65","29","16","11.10","2.51","4.90","53","10","9.80","0.20","20.91","5.48","4.38"
"","Thiago Almada","ATL","2023","AM","3052","109","43","11","9.43","-0.34","1.57","90","16","11.43","4.57","20.86","5.94","5.00"
