"","Player","Team","Season","Position","Minutes","Shots","SoT","G","xG","xPlace","G-xG","KeyP","A","xA","A-xA","xG+xA","PA","xPA"
"","Kim Moon-Hwan","LAFC","2021","FB","1992","12","3","1","0.86","0.18","0.14","22","1","1.44","-0.44","2.30","0.57","0.59"
"","Carlos Akapo","SJE","2023","FB","2284","27","3","2","1.07","-0.18","0.93","11","3","1.23","1.77","2.30","1.34","0.82"
"","Nouhou Tolo","SEA","2022","FB","2748","14","4","1","0.98","0.08","0.02","14","2","1.31","0.69","2.30","1.02","0.67"
"","Lucas Esteves","COL","2021","FB","1021","17","5","1","1.42","-0.78","-0.42","11","0","0.86","-0.86","2.29","0.00","0.73"
"","Malte Amundsen","CLB","2023","CB","2001","12","3","3","1.71","0.41","1.29","7","0","0.58","-0.58","2.29","1.34","0.86"
"","Obinna Nwobodo","CIN","2023","CM","2769","12","7","2","0.81","0.59","1.19","19","2","1.47","0.53","2.28","0.65","0.61"
"","Braian Ojeda","RSL","2023","CM","2310","32","9","0","1.24","0.07","-1.24","21","1","1.03","-0.03","2.27","0.00","0.78"
"","Gabriel Segal","NYC","2023","ST","473","14","4","2","1.89","-0.00","0.11","5","0","0.37","-0.37","2.26","3.71","2.16"
"","Daniel Ríos","NSH","2021","ST","416","17","5","1","1.55","-0.21","-0.55","5","1","0.72","0.28","2.26","0.29","1.42"
"","Santiago Sosa","ATL","2021","DM","2418","15","4","0","0.69","-0.27","-0.69","15","0","1.57","-1.57","2.26","0.00","0.68"
"","Kevin Molino","CLB","2021","W","648","7","2","1","1.60","-0.69","-0.60","7","0","0.66","-0.66","2.26","0.29","1.16"
"","Luke Haakenson","NSH","2022","CM","718","10","3","0","1.24","-0.50","-1.24","6","3","1.02","1.98","2.26","0.00","1.00"
"","Cristián Gutiérrez","VAN","2021","FB","1698","4","0","0","0.09","-0.09","-0.09","23","3","2.17","0.83","2.26","0.00","0.07"
"","D.J. Taylor","MIN","2023","FB","2708","14","3","0","0.53","-0.10","-0.53","21","0","1.73","-1.73","2.26","0.00","0.42"
"","Claudio Bravo","POR","2021","FB","2242","22","3","0","0.80","-0.20","-0.80","16","1","1.45","-0.45","2.26","0.00","0.43"
"","Sebastian Berhalter","VAN","2023","DM","1367","16","6","2","0.64","1.07","1.36","14","2","1.61","0.39","2.25","0.03","0.28"
"","Christian Ortíz","CLT","2022","CM","703","12","3","1","0.85","-0.31","0.15","16","1","1.40","-0.40","2.25","0.93","0.55"
"","Kellyn Acosta","COL","2021","CM","1885","17","2","1","1.02","0.05","-0.02","16","2","1.23","0.77","2.25","0.65","1.05"
"","Will Bruin","ATX","2023","ST","430","8","4","3","2.10","0.67","0.90","2","0","0.14","-0.14","2.24","2.49","1.65"
"","Daniel Steres","HOU","2023","FB","2090","10","2","2","1.14","-0.73","0.86","6","1","1.10","-0.10","2.24","0.66","0.51"
"","Brandt Bronico","CLT","2022","DM","3097","22","8","1","1.52","-0.22","-0.52","13","1","0.72","0.28","2.23","0.44","1.08"
